4039 0.92
2.50019 1.2375 0.0000
2.50081 1.2372 0.0000
2.50138 1.2372 0.00025868
2.502 1.2372 0.0000
2.50263 1.2370 0.0000
2.50319 1.2367 0.0000
2.50382 1.2367 0.00023365
2.50445 1.2366 0.0000
2.50501 1.2365 0.00022244
2.50564 1.2363 0.0000
2.50627 1.2361 0.00020838
2.50683 1.2361 0.00020599
2.50746 1.2361 0.00020218
2.50809 1.2359 0.0000
2.50865 1.2358 0.00018811
2.50928 1.2356 0.0000
2.50985 1.2355 0.00017405
2.51048 1.2355 0.00017095
2.51111 1.2353 0.0000
2.51168 1.2351 0.00015497
2.51231 1.2350 0.00015068
2.51294 1.2350 0.00014520
2.51351 1.2349 0.00014091
2.51414 1.2349 0.00013661
2.51477 1.2347 0.0000
2.51534 1.2344 0.0000
2.51598 1.2342 0.00011063
2.51661 1.2342 0.00010681
2.51718 1.2342 0.00010371
2.51781 1.2340 0.0000
2.51838 1.2337 0.0000
2.51902 1.2335 7.6771e-05
2.51965 1.2335 7.2241e-05
2.52022 1.2334 6.7711e-05
2.52086 1.2334 6.2466e-05
2.5215 1.2331 0.0000
2.52207 1.2329 4.4107e-05
2.5227 1.2328 3.9101e-05
2.52334 1.2327 3.2663e-05
2.52391 1.2326 2.6703e-05
2.52455 1.2325 2.0027e-05
2.52519 1.2324 1.3113e-05
2.52576 1.2323 7.1526e-06
2.5264 1.2321 4.7684e-07
2.52698 1.2320 0.0000
2.52761 1.2320 0.0000
2.52825 1.2317 0.0000
2.52883 1.2315 0.0000
2.52947 1.2314 0.0000
2.53011 1.2313 0.0000
2.53068 1.2313 0.0000
2.53133 1.2310 0.0000
2.53197 1.2308 0.0000
2.53254 1.2307 0.0000
2.53318 1.2306 0.0000
2.53383 1.2305 0.0000
2.5344 1.2305 0.0000
2.53505 1.2302 0.0000
2.53569 1.2301 0.0000
2.53627 1.2299 0.0000
2.53691 1.2297 0.0000
2.53749 1.2296 0.0000
2.53814 1.2295 0.0000
2.53878 1.2293 0.0000
2.53936 1.2291 0.0000
2.54001 1.2290 0.0000
2.54065 1.2289 0.0000
2.54123 1.2288 0.0000
2.54188 1.2286 0.0000
2.54252 1.2285 0.0000
2.54311 1.2284 0.0000
2.54375 1.2284 0.0000
2.5444 1.2282 0.0000
2.54498 1.2279 0.0000
2.54563 1.2277 0.0000
2.54621 1.2274 0.0000
2.54686 1.2273 0.0000
2.54751 1.2273 0.0000
2.5481 1.2272 0.0000
2.54874 1.2268 0.0000
2.54939 1.2267 0.0000
2.54998 1.2265 0.0000
2.55063 1.2263 0.0000
2.55128 1.2263 0.0000
2.55187 1.2262 0.0000
2.55252 1.2261 0.0000
2.55317 1.2260 0.0000
2.55376 1.2257 0.0000
2.55441 1.2255 0.0000
2.555 1.2252 0.0000
2.55565 1.2251 0.0000
2.5563 1.2250 0.0000
2.55689 1.2248 0.0000
2.55754 1.2247 0.0000
2.5582 1.2245 0.0000
2.55879 1.2242 0.0000
2.55944 1.2240 0.0000
2.5601 1.2237 0.0000
2.56069 1.2235 0.0000
2.56134 1.2235 0.0000
2.562 1.2234 0.0000
2.56259 1.2232 0.0000
2.56325 1.2231 0.0000
2.56391 1.2231 0.0000
2.5645 1.2228 0.0000
2.56515 1.2226 0.0000
2.56575 1.2224 0.0000
2.56641 1.2224 0.0000
2.56706 1.2222 0.0000
2.56766 1.2219 0.0000
2.56832 1.2218 0.0000
2.56898 1.2215 0.0000
2.56957 1.2215 0.0000
2.57023 1.2213 0.0000
2.57089 1.2211 0.0000
2.57149 1.2208 0.0000
2.57215 1.2206 0.0000
2.57281 1.2206 0.0000
2.57341 1.2205 0.0000
2.57407 1.2203 0.0000
2.57467 1.2200 0.0000
2.57533 1.2199 0.0000
2.57599 1.2196 0.0000
2.57659 1.2194 0.0000
2.57725 1.2194 0.0000
2.57792 1.2191 0.0000
2.57852 1.2188 0.0000
2.57918 1.2186 0.0000
2.57985 1.2184 0.0000
2.58045 1.2182 0.0000
2.58111 1.2181 0.0000
2.58178 1.2179 0.0000
2.58238 1.2175 0.0000
2.58304 1.2173 0.0000
2.58371 1.2173 0.0000
2.58431 1.2172 0.0000
2.58498 1.2171 0.0000
2.58558 1.2167 0.0000
2.58625 1.2164 0.0000
2.58692 1.2163 0.0000
2.58752 1.2161 0.0000
2.58819 1.2158 0.0000
2.58886 1.2157 0.0000
2.58947 1.2155 0.0000
2.59014 1.2152 0.0000
2.59081 1.2149 0.0000
2.59141 1.2146 0.0000
2.59208 1.2146 0.0000
2.59276 1.2144 0.0000
2.59336 1.2140 0.0000
2.59403 1.2141 0.0000
2.59464 1.2140 0.0000
2.59531 1.2139 0.0000
2.59599 1.2136 0.0000
2.59659 1.2133 0.0000
2.59727 1.2132 0.0000
2.59794 1.2129 0.0000
2.59855 1.2126 0.0000
2.59923 1.2125 0.0000
2.5999 1.2123 0.0000
2.60051 1.2119 0.0000
2.60119 1.2117 0.0000
2.60186 1.2116 0.0000
2.60247 1.2113 0.0000
2.60315 1.2112 0.0000
2.60376 1.2108 0.0000
2.60444 1.2105 0.0000
2.60512 1.2104 0.0000
2.60573 1.2102 0.0000
2.60641 1.2099 0.0000
2.60709 1.2097 0.0000
2.6077 1.2093 0.0000
2.60838 1.2091 0.0000
2.60906 1.2090 0.0000
2.60967 1.2087 0.0000
2.61035 1.2085 0.0000
2.61103 1.2084 0.0000
2.61165 1.2080 0.0000
2.61233 1.2078 0.0000
2.61301 1.2076 0.0000
2.61363 1.2071 0.0000
2.61431 1.2069 0.0000
2.61493 1.2066 0.0000
2.61561 1.2065 0.0000
2.61629 1.2065 0.0000
2.61691 1.2061 0.0000
2.6176 1.2057 0.0000
2.61828 1.2055 0.0000
2.6189 1.2053 0.0000
2.61958 1.2051 0.0000
2.62027 1.2050 0.0000
2.62089 1.2048 0.0000
2.62158 1.2046 0.0000
2.62226 1.2043 0.0000
2.62288 1.2038 0.0000
2.62357 1.2036 0.0000
2.62426 1.2034 0.0000
2.62488 1.2029 0.0000
2.62557 1.2027 0.0000
2.62619 1.2024 0.0000
2.62688 1.2022 0.0000
2.62757 1.2020 0.0000
2.62819 1.2016 0.0000
2.62888 1.2013 0.0000
2.62957 1.2013 0.0000
2.63019 1.2010 0.0000
2.63089 1.2007 0.0000
2.63158 1.2005 0.0000
2.6322 1.2000 0.0000
2.6329 1.1998 0.0000
2.63359 1.1997 0.0000
2.63421 1.1993 0.0000
2.63491 1.1992 0.0000
2.63553 1.1987 0.0000
2.63623 1.1986 0.0000
2.63692 1.1984 0.0000
2.63755 1.1979 0.0000
2.63824 1.1975 0.0000
2.63894 1.1974 0.0000
2.63957 1.1970 0.0000
2.64026 1.1966 0.0000
2.64096 1.1964 0.0000
2.64159 1.1961 0.0000
2.64229 1.1959 0.0000
2.64299 1.1955 0.0000
2.64361 1.1950 0.0000
2.64431 1.1950 0.0000
2.64494 1.1946 0.0000
2.64564 1.1945 0.0000
2.64634 1.1943 0.0000
2.64697 1.1937 0.0000
2.64767 1.1934 0.0000
2.64838 1.1932 0.0000
2.64901 1.1926 0.0000
2.64971 1.1924 0.0000
2.65041 1.1920 0.0000
2.65104 1.1916 0.0000
2.65175 1.1914 0.0000
2.65245 1.1911 0.0000
2.65308 1.1908 0.0000
2.65379 1.1906 0.0000
2.65449 1.1903 0.0000
2.65513 1.1897 0.0000
2.65583 1.1895 0.0000
2.65647 1.1889 0.0000
2.65717 1.1886 0.0000
2.65788 1.1883 0.0000
2.65851 1.1877 0.0000
2.65922 1.1876 0.0000
2.65993 1.1874 0.0000
2.66057 1.1867 0.0000
2.66127 1.1867 0.0000
2.66198 1.1865 0.0000
2.66262 1.1857 0.0000
2.66333 1.1853 0.0000
2.66404 1.1851 0.0000
2.66468 1.1846 0.0000
2.66539 1.1844 0.0000
2.66603 1.1837 0.0000
2.66674 1.1836 0.0000
2.66745 1.1834 0.0000
2.66809 1.1828 0.0000
2.6688 1.1825 0.0000
2.66951 1.1821 0.0000
2.67016 1.1815 0.0000
2.67087 1.1814 0.0000
2.67158 1.1810 0.0000
2.67222 1.1803 0.0000
2.67294 1.1800 0.0000
2.67365 1.1797 0.0000
2.6743 1.1790 0.0000
2.67501 1.1787 0.0000
2.67566 1.1781 0.0000
2.67637 1.1778 0.0000
2.67709 1.1775 0.0000
2.67773 1.1768 0.0000
2.67845 1.1765 0.0000
2.67917 1.1762 0.0000
2.67982 1.1754 0.0000
2.68053 1.1751 0.0000
2.68125 1.1747 0.0000
2.6819 1.1738 0.0000
2.68262 1.1734 0.0000
2.68334 1.1731 0.0000
2.68399 1.1724 0.0000
2.68471 1.1719 0.0000
2.68543 1.1714 0.0000
2.68608 1.1708 0.0000
2.6868 1.1707 0.0000
2.68745 1.1699 0.0000
2.68817 1.1696 0.0000
2.68889 1.1693 0.0000
2.68955 1.1687 0.0000
2.69027 1.1686 0.0000
2.69099 1.1683 0.0000
2.69165 1.1677 0.0000
2.69237 1.1673 0.0000
2.69309 1.1671 0.0000
2.69375 1.1666 0.0000
2.69447 1.1662 0.0000
2.6952 1.1658 0.0000
2.69585 1.1650 0.0000
2.69658 1.1648 0.0000
2.69724 1.1639 0.0000
2.69796 1.1635 0.0000
2.69869 1.1632 0.0000
2.69935 1.1625 0.0000
2.70008 1.1620 0.0000
2.7008 1.1616 0.0000
2.70146 1.1610 0.0000
2.70219 1.1606 0.0000
2.70292 1.1603 0.0000
2.70358 1.1597 0.0000
2.70431 1.1592 0.0000
2.70504 1.1589 0.0000
2.7057 1.1583 0.0000
2.70643 1.1579 0.0000
2.70717 1.1575 0.0000
2.70783 1.1567 0.0000
2.70856 1.1564 0.0000
2.70922 1.1557 0.0000
2.70995 1.1552 0.0000
2.71069 1.1548 0.0000
2.71135 1.1542 0.0000
2.71209 1.1537 0.0000
2.71282 1.1532 0.0000
2.71348 1.1523 0.0000
2.71422 1.1518 0.0000
2.71496 1.1513 0.0000
2.71562 1.1504 0.0000
2.71636 1.1498 0.0000
2.7171 1.1492 0.0000
2.71776 1.1482 0.0000
2.7185 1.1477 0.0000
2.71916 1.1468 0.0000
2.7199 1.1463 0.0000
2.72064 1.1458 0.0000
2.72131 1.1449 0.0000
2.72205 1.1443 0.0000
2.72279 1.1437 0.0000
2.72346 1.1428 0.0000
2.7242 1.1422 0.0000
2.72494 1.1416 0.0000
2.72561 1.1407 0.0000
2.72636 1.1400 0.0000
2.7271 1.1394 0.0000
2.72777 1.1386 0.0000
2.72851 1.1379 0.0000
2.72918 1.1370 0.0000
2.72993 1.1363 0.0000
2.73067 1.1357 0.0000
2.73134 1.1348 0.0000
2.73209 1.1340 0.0000
2.73284 1.1333 0.0000
2.73351 1.1322 0.0000
2.73426 1.1315 0.0000
2.73501 1.1310 0.0000
2.73568 1.1301 0.0000
2.73643 1.1293 0.0000
2.73718 1.1285 0.0000
2.73785 1.1275 0.0000
2.7386 1.1267 0.0000
2.73935 1.1261 0.0000
2.74003 1.1253 0.0000
2.74078 1.1245 0.0000
2.74145 1.1237 0.0000
2.74221 1.1229 0.0000
2.74296 1.1220 0.0000
2.74363 1.1211 0.0000
2.74439 1.1202 6.5804e-05
2.74514 1.1194 0.00036240
2.74582 1.1186 0.00026798
2.74657 1.1177 0.00054216
2.74733 1.1167 0.00082207
2.74801 1.1161 0.0011420
2.74876 1.1151 0.0010233
2.74952 1.1140 0.0012860
2.7502 1.1133 0.0015945
2.75096 1.1123 0.0018620
2.75164 1.1117 0.0021918
2.75239 1.1107 0.0020614
2.75315 1.1095 0.0023112
2.75383 1.1087 0.0026162
2.75459 1.1078 0.0033054
2.75535 1.1068 0.0031757
2.75604 1.1061 0.0034971
2.7568 1.1050 0.0037613
2.75756 1.1039 0.0040197
2.75824 1.1034 0.0043664
2.759 1.1022 0.0042021
2.75976 1.1009 0.0048554
2.76045 1.1004 0.0047774
2.76121 1.0991 0.0054300
2.76197 1.0979 0.0056806
2.76266 1.0974 0.0060375
2.76342 1.0959 0.0062418
2.76411 1.0955 0.0065994
2.76488 1.0941 0.0068359
2.76564 1.0926 0.0070462
2.76633 1.0923 0.0078321
